kw_avg_avg,LDA_03,data_channel_is_world,num_hrefs,kw_avg_max,global_subjectivity,kw_avg_min,kw_max_min,average_token_length,shares
0.0,0.041262648,0,4,0.0,0.521617145,0.0,0.0,4.680365297,593
0.0,0.050100673,0,3,0.0,0.341245791,0.0,0.0,4.91372549,711
0.0,0.033333536,0,3,0.0,0.702222222,0.0,0.0,4.393364929,1500
0.0,0.028904718,0,9,0.0,0.429849687,0.0,0.0,4.404896422,1200
0.0,0.028571675,0,19,0.0,0.513502123,0.0,0.0,4.682835821,505
0.0,0.02222429,0,2,0.0,0.437408649,0.0,0.0,4.359459459,855
0.0,0.020015328,0,21,0.0,0.514480301,0.0,0.0,4.654166667,556
0.0,0.022223603,0,20,0.0,0.543474234,0.0,0.0,4.617795753,891
0.0,0.029695859,0,2,0.0,0.538888889,0.0,0.0,4.855670103,3600
0.0,0.040000633,1,4,0.0,0.313888889,0.0,0.0,5.090909091,710
0.0,0.261863749,1,11,0.0,0.482059813,0.0,0.0,4.617788462,2200
0.0,0.028715367,0,7,0.0,0.477164502,0.0,0.0,4.657754011,1900
0.0,0.304298398,0,18,0.0,0.534950029,0.0,0.0,4.233576642,823
0.0,0.866498538,0,4,0.0,0.50974359,0.0,0.0,4.343859649,10000
0.0,0.885144108,0,19,0.0,0.295175128,0.0,0.0,5.023166023,761
0.0,0.033335017,1,10,0.0,0.473285048,0.0,0.0,4.620234604,1600
0.0,0.839741884,0,26,0.0,0.57962963,0.0,0.0,4.703935599,13600
0.0,0.033333369,0,11,0.0,0.374313754,0.0,0.0,5.445843829,3100
0.0,0.033403472,0,3,0.0,0.423611111,0.0,0.0,4.844660194,5700
0.0,0.025000235,0,24,0.0,0.539251643,0.0,0.0,4.716652858,17100
0.0,0.020008425,0,21,0.0,0.506535132,0.0,0.0,4.686698718,2800
0.0,0.028573875,1,9,0.0,0.284210526,0.0,0.0,5.296675192,598
0.0,0.028574292,0,20,0.0,0.533657622,0.0,0.0,4.629982669,445
0.0,0.200010579,1,1,0.0,0.396401515,0.0,0.0,4.824,1500
0.0,0.050000176,0,3,0.0,0.331639929,0.0,0.0,4.422131148,852
0.0,0.020003927,0,5,0.0,0.313095238,0.0,0.0,4.259398496,783
0.0,0.132968812,0,5,0.0,0.560695733,0.0,0.0,4.782477341,1500
0.0,0.022349204,0,22,0.0,0.480777661,0.0,0.0,4.635918367,1800
0.0,0.020008404,0,1,0.0,0.517984307,0.0,0.0,4.382716049,462
0.0,0.033335664,0,18,0.0,0.375048678,0.0,0.0,5.228215768,425
0.0,0.02948359,0,8,0.0,0.491427884,0.0,0.0,4.620056497,3200
0.0,0.028749823,0,2,0.0,0.531972337,0.0,0.0,4.985781991,3900
0.0,0.022224163,0,0,0.0,0.57190673,0.0,0.0,4.068965517,480
0.0,0.47962892,0,5,0.0,0.467187049,0.0,0.0,4.343383585,573
0.0,0.025080734,0,7,0.0,0.651940457,0.0,0.0,4.671568627,3600
0.0,0.120752883,0,4,0.0,0.553519571,0.0,0.0,4.380952381,343
0.0,0.020002091,0,27,0.0,0.511652568,0.0,0.0,4.752411576,7700
